utc_ts,market,borrow_usd,collateral_usd,book_ltv,liq_10,liq_20,liq_30,capacity_ab_usd,distance_to_capacity
2026-09-20T12:27:30+00:00,cbADA,2025876,6566846,0.3085,19934,145161,334257,175021,0.22
2026-09-20T12:27:30+00:00,cbLTC,774201,2291949,0.3378,572,202561,289266,174088,0.19
2026-09-20T12:27:30+00:00,JitoSOL,2236390,7073231,0.3162,20591,152053,459440,982040,0.43
2026-09-20T16:52:49+00:00,cbBTC,1429587548,3074692605,0.465,2100621,71826271,234359132,9643522,0.11
2026-09-20T16:52:49+00:00,WETH,85144496,204061523,0.4172,131006,7479764,15910682,18809766,0.33
2026-09-20T16:52:49+00:00,cbETH,11756611,31560322,0.3725,26472,1599136,2408458,2339632,0.3
2026-09-20T16:52:49+00:00,cbXRP,48862121,141485986,0.3453,693310,5544496,12803320,1458801,0.13
2026-09-20T16:52:49+00:00,SOL,5494781,16886481,0.3254,192309,816028,1510950,1374252,0.27
2026-09-20T16:52:49+00:00,cbDOGE,2311606,6674156,0.3464,64602,212281,593441,251628,0.21
2026-09-20T16:52:49+00:00,cbADA,2027918,6710113,0.3022,43502,144980,300168,184930,0.24
2026-09-20T16:52:49+00:00,cbLTC,775358,2322660,0.3338,2506,202962,288012,160047,0.2
2026-09-20T16:52:49+00:00,JitoSOL,2237593,7131060,0.3138,20486,152575,433883,1374252,0.48
2026-09-20T19:31:26+00:00,cbBTC,1430385856,3064151629,0.4668,4104598,77270073,242316305,11071306,0.11
2026-09-20T19:31:26+00:00,WETH,85242760,203184381,0.4195,1503144,7760673,16240436,17496085,0.32
2026-09-20T19:31:26+00:00,cbETH,11761320,31679884,0.3713,19641,1598371,2402847,2383455,0.3
2026-09-20T19:31:26+00:00,cbXRP,48856435,141801548,0.3445,473434,5313131,12405063,1726929,0.13
2026-09-20T19:31:26+00:00,SOL,5499169,17065148,0.3222,158864,799663,1489805,1469976,0.3
2026-09-20T19:31:26+00:00,cbDOGE,2313524,6704541,0.3451,61877,214158,595526,246630,0.21
2026-09-20T19:31:26+00:00,cbADA,2033556,6768576,0.3004,43394,133426,265855,210724,0.25
2026-09-20T19:31:26+00:00,cbLTC,775901,2347153,0.3306,305,127015,286517,211475,0.23
2026-09-20T19:31:26+00:00,JitoSOL,2240998,7170108,0.3125,17339,151716,431210,1469976,0.51
2026-09-20T21:41:19+00:00,cbBTC,1430728824,3057488732,0.4679,6828602,78685373,245010892,10373226,0.11
2026-09-20T21:41:19+00:00,WETH,85300794,202823041,0.4206,1647799,7820146,16291661,17641085,0.32
2026-09-20T21:41:19+00:00,cbETH,11763082,31619134,0.372,26522,1608349,2408865,2524052,0.31
2026-09-20T21:41:19+00:00,cbXRP,48919991,141711548,0.3452,651953,5445525,12578713,1893397,0.13
2026-09-20T21:41:19+00:00,SOL,5503133,17044659,0.3229,177615,800760,1491726,1643176,0.33
2026-09-20T21:41:19+00:00,cbDOGE,2314368,6696758,0.3456,61879,216818,600336,279192,0.22
2026-09-20T21:41:19+00:00,cbADA,2034963,6714924,0.3031,18801,154030,311136,225997,0.25
2026-09-20T21:41:19+00:00,cbLTC,777110,2353964,0.3301,792,128311,288235,232830,0.24
2026-09-20T21:41:19+00:00,JitoSOL,2241492,7173938,0.3124,16647,148877,430415,1643176,0.56
2026-09-21T00:20:41+00:00,cbBTC,1431161290,3082372612,0.4643,296691,71580896,233055868,11243455,0.11
2026-09-21T00:20:41+00:00,WETH,85398131,205112614,0.4163,153984,7553870,15792675,18136362,0.33
2026-09-21T00:20:41+00:00,cbETH,11767066,31887420,0.369,1126,1509522,2404190,2748499,0.33
2026-09-21T00:20:41+00:00,cbXRP,49000904,142882625,0.3429,372998,4842679,12357668,2656664,0.17
2026-09-21T00:20:41+00:00,SOL,5533991,17307524,0.3197,134843,676549,1445094,2573042,0.44
2026-09-21T00:20:41+00:00,cbDOGE,2314710,6763299,0.3422,56913,208005,539895,233862,0.22
2026-09-21T00:20:41+00:00,cbADA,2037800,6793535,0.3,17934,146866,275698,188668,0.24
2026-09-21T00:20:41+00:00,cbLTC,776764,2369970,0.3278,0,127316,288556,198380,0.22
2026-09-21T00:20:41+00:00,JitoSOL,2258034,7297030,0.3094,1332,149892,424253,2573042,
2026-09-21T01:12:24+00:00,cbBTC,1431370603,3083509258,0.4642,313631,71705364,233120306,11377911,0.11
2026-09-21T01:12:24+00:00,WETH,85437345,207663126,0.4114,446373,7272758,15334527,17630554,0.33
2026-09-21T01:12:24+00:00,cbETH,11803064,32428694,0.364,149,1455505,2335013,2167502,0.3
2026-09-21T01:12:24+00:00,cbXRP,49013243,144438194,0.3393,166776,4183621,11506424,1390968,0.14
2026-09-21T01:12:24+00:00,SOL,5536687,17501138,0.3164,15679,565532,1419971,1890659,0.36
2026-09-21T01:12:24+00:00,cbDOGE,2333879,6888380,0.3388,39204,199864,525232,259420,0.23
2026-09-21T01:12:24+00:00,cbADA,2038900,6881495,0.2963,17934,96831,259799,196724,0.25
2026-09-21T01:12:24+00:00,cbLTC,779642,2383826,0.3271,0,123470,289161,225777,0.24
2026-09-21T01:12:24+00:00,JitoSOL,2263370,7363195,0.3074,254,137603,307107,1890659,0.61
2026-09-21T06:27:40+00:00,cbBTC,1431977505,3089082502,0.4636,55364,70841585,232099637,11076442,0.11
2026-09-21T06:27:40+00:00,WETH,85586201,206250288,0.415,1390628,7576370,15853309,18953564,0.34
2026-09-21T06:27:40+00:00,cbETH,11842957,32228137,0.3675,4230,1513424,2390398,2203894,0.29
2026-09-21T06:27:40+00:00,cbXRP,49156056,144681112,0.3398,296840,4281645,11871623,1928442,0.14
2026-09-21T06:27:40+00:00,SOL,5543460,17380603,0.3189,95643,676532,1475866,1795207,0.35
2026-09-21T06:27:40+00:00,cbDOGE,2335419,6886950,0.3391,56985,199979,525818,328112,0.25
2026-09-21T06:27:40+00:00,cbADA,2041717,6904691,0.2957,1447,97411,260554,267708,0.31
2026-09-21T06:27:40+00:00,cbLTC,779498,2349796,0.3317,1035,129295,289423,211153,0.22
2026-09-21T06:27:40+00:00,JitoSOL,2267306,7347488,0.3086,1425,142031,365921,1795207,0.57
2026-09-21T14:14:34+00:00,cbBTC,1436763343,3236311992,0.444,497,49706304,157963205,7898653,0.12
2026-09-21T14:14:34+00:00,WETH,85797664,211167679,0.4063,19,7381750,14177499,18410537,0.34
2026-09-21T14:14:34+00:00,cbETH,11933446,33222719,0.3592,182,1384580,2044625,2731817,0.35
2026-09-21T14:14:34+00:00,cbXRP,49372064,150534232,0.328,201463,3115069,10201546,1005989,0.14
2026-09-21T14:14:34+00:00,SOL,5592168,18366680,0.3045,0,429985,1283318,1377975,0.32
2026-09-21T14:14:34+00:00,cbDOGE,2341568,7282200,0.3215,0,103406,422463,297411,0.28
2026-09-21T14:14:34+00:00,cbADA,2045700,7330937,0.2791,601,58539,214428,221969,0.31
2026-09-21T14:14:34+00:00,cbLTC,835132,2589019,0.3226,49408,222357,314137,244372,0.23
2026-09-21T14:14:34+00:00,JitoSOL,2344325,7897229,0.2969,0,30652,267042,1377975,0.5
2026-09-21T19:32:53+00:00,cbBTC,1442718263,3272807379,0.4408,1237,50837515,153858660,8704612,0.12
2026-09-21T19:32:53+00:00,WETH,86029175,214132322,0.4018,235,7003372,14843275,19300103,0.35
2026-09-21T19:32:53+00:00,cbETH,11984050,33597334,0.3567,2213,1432832,2093304,3380161,0.4
2026-09-21T19:32:53+00:00,cbXRP,49594492,152917639,0.3243,4134,3188682,9804784,1903520,0.18
2026-09-21T19:32:53+00:00,SOL,5628878,18414725,0.3057,378,654806,1344832,1703296,0.36
2026-09-21T19:32:53+00:00,cbDOGE,2363762,7749290,0.305,20749,73656,219236,307743,0.32
2026-09-21T19:32:53+00:00,cbADA,2051923,7264617,0.2825,22249,62073,248673,250135,0.31
2026-09-21T19:32:53+00:00,cbLTC,841174,2557006,0.329,50228,249358,320267,237914,0.19
2026-09-21T19:32:53+00:00,JitoSOL,2349646,7560367,0.3108,1754,38423,276175,1703296,0.56
2026-09-21T23:21:57+00:00,cbBTC,1444898970,3282934013,0.4401,1338985,46504417,157787069,11860080,0.12
2026-09-21T23:21:57+00:00,WETH,86208913,215419512,0.4002,671500,6966100,13782428,21103622,0.37
2026-09-21T23:21:57+00:00,cbETH,12022709,33858411,0.3551,25714,1471734,2123352,3721259,0.42
2026-09-21T23:21:57+00:00,cbXRP,49918163,157540075,0.3169,224460,2610415,8524100,1320393,0.17
2026-09-21T23:21:57+00:00,SOL,5553271,18370764,0.3023,74207,425046,1126276,2145171,0.44
2026-09-21T23:21:57+00:00,cbDOGE,2336382,7735093,0.302,4,76840,220236,541747,0.39
2026-09-21T23:21:57+00:00,cbADA,2055632,7335282,0.2802,667,66471,219269,238368,0.31
2026-09-21T23:21:57+00:00,cbLTC,851562,2572470,0.331,50340,249924,322984,246526,0.19
2026-09-21T23:21:57+00:00,JitoSOL,2449964,7852723,0.312,1129,115620,415702,2145171,0.63
2026-09-22T05:02:23+00:00,cbBTC,1446837133,3240125693,0.4465,14022299,59683182,177323107,12540293,0.1
2026-09-22T05:02:23+00:00,WETH,86298157,211075902,0.4088,3133928,7963200,15854830,18122569,0.32
2026-09-22T05:02:23+00:00,cbETH,12056883,33340069,0.3616,85002,1512792,2214892,2426871,0.32
2026-09-22T05:02:23+00:00,cbXRP,50094686,153523528,0.3263,566926,3709501,10123122,1888587,0.15
2026-09-22T05:02:23+00:00,SOL,5602428,18055858,0.3103,139812,610066,1320152,1701103,0.37
2026-09-22T05:02:23+00:00,cbDOGE,2341758,7710640,0.3037,22111,80273,259096,384227,0.34
2026-09-22T05:02:23+00:00,cbADA,2059999,7347503,0.2804,20396,79299,222754,239365,0.31
2026-09-22T05:02:23+00:00,cbLTC,852910,2542156,0.3355,126908,251901,337788,262726,0.24
2026-09-22T05:02:23+00:00,JitoSOL,2458333,7659430,0.321,95554,135236,466313,1701103,0.53
2026-09-22T10:02:37+00:00,cbBTC,1447388282,3262904180,0.4436,7230157,55380012,165896302,10101132,0.11
2026-09-22T10:02:37+00:00,WETH,86360999,212451356,0.4065,1765034,7764153,15657283,19531320,0.34
2026-09-22T10:02:37+00:00,cbETH,12067608,33510198,0.3601,60023,1495582,2204240,2331665,0.31
2026-09-22T10:02:37+00:00,cbXRP,50133432,156259787,0.3208,251782,2935365,9065642,1440313,0.16
2026-09-22T10:02:37+00:00,SOL,5603557,18194449,0.308,113225,541467,1243164,1197092,0.3
2026-09-22T10:02:37+00:00,cbDOGE,2342036,7518983,0.3115,43944,80775,269158,606497,0.38
2026-09-22T10:02:37+00:00,cbADA,2060080,7360098,0.2799,0,73808,216137,258740,0.32
2026-09-22T10:02:37+00:00,cbLTC,852243,2529401,0.3369,125736,251980,337880,276667,0.24
2026-09-22T10:02:37+00:00,JitoSOL,2460822,7716765,0.3189,85183,131284,464101,1197092,0.44
2026-09-22T15:00:06+00:00,cbBTC,1449546444,3264701402,0.444,7595703,57615449,169462303,10371649,0.11
2026-09-22T15:00:06+00:00,WETH,86379889,211592975,0.4082,2786829,8095370,15978349,18325931,0.33
2026-09-22T15:00:06+00:00,cbETH,12094890,33377204,0.3624,86110,1531686,2230639,2572281,0.32
2026-09-22T15:00:06+00:00,cbXRP,50287446,157265774,0.3198,323145,3305432,9143274,1370494,0.15
